CBSA_CODE,Year,avg_aqi,median_aqi,max_aqi,min_aqi,days_reported,most_common_category,most_common_parameter,CBSA Code,county_fips,County Name,State Name,LAUS Code,State FIPS Code,County FIPS Code,county_state_name,labor_force,employed,unemployed,unemployment_rate,source_year,state_name,county_fips_str,year,Rank,COUNTY_NAME,STATE_NAME,FIPS,Scaled SCI ,Avg_Unemployment,Unemp
36540,2021,48.75,47,150,19,365,Good,PM2.5,36540,31055,Douglas County,Nebraska,CN3105500000000,31,55,"Douglas County, NE",309917,300362,9555,3.1,2021,Nebraska,31055,2021,10,Douglas County,Nebraska,31055,85177096,2.8,3.1
36540,2022,46.19,44,108,24,365,Good,Ozone,36540,31055,Douglas County,Nebraska,CN3105500000000,31,55,"Douglas County, NE",311648,304072,7576,2.4,2022,Nebraska,31055,2022,10,Douglas County,Nebraska,31055,85177096,,2.4
36540,2023,56.18,50,169,16,365,Good,Ozone,36540,31055,Douglas County,Nebraska,CN3105500000000,31,55,"Douglas County, NE",314294,306195,8099,2.6,2023,Nebraska,31055,2023,10,Douglas County,Nebraska,31055,85177096,,2.6
36540,2024,50.03,50,110,21,366,Good,PM2.5,36540,31055,Douglas County,Nebraska,CN3105500000000,31,55,"Douglas County, NE",318417,308553,9864,3.1,2024,Nebraska,31055,2024,10,Douglas County,Nebraska,31055,85177096,,3.1
36740,2021,44.24,43,97,23,365,Good,PM2.5,36740,12095,Orange County,Florida,CN1209500000000,12,95,"Orange County, FL",744853,706052,38801,5.2,2021,Florida,12095,2021,19,Orange County,Florida,12095,35732829,3.6,5.2
36740,2022,45.25,44,97,22,365,Good,Ozone,36740,12095,Orange County,Florida,CN1209500000000,12,95,"Orange County, FL",787134,763343,23791,3,2022,Florida,12095,2022,19,Orange County,Florida,12095,35732829,,3
36740,2023,47.24,44,115,23,365,Good,Ozone,36740,12095,Orange County,Florida,CN1209500000000,12,95,"Orange County, FL",813083,789338,23745,2.9,2023,Florida,12095,2023,19,Orange County,Florida,12095,35732829,,2.9
36740,2024,46.27,44,149,23,360,Good,Ozone,36740,12095,Orange County,Florida,CN1209500000000,12,95,"Orange County, FL",824458,797663,26795,3.3,2024,Florida,12095,2024,19,Orange County,Florida,12095,35732829,,3.3
39580,2021,49.5,49,97,20,365,Good,PM2.5,39580,37183,Wake County,North Carolina,CN3718300000000,37,183,"Wake County, NC",610971,586522,24449,4,2021,North Carolina,37183,2021,11,Wake County,North Carolina,37183,79674205,3.3,4
39580,2022,47.12,48,140,13,365,Good,PM2.5,39580,37183,Wake County,North Carolina,CN3718300000000,37,183,"Wake County, NC",650563,630680,19883,3.1,2022,North Carolina,37183,2022,11,Wake County,North Carolina,37183,79674205,,3.1
39580,2023,50.29,50,130,19,365,Good,PM2.5,39580,37183,Wake County,North Carolina,CN3718300000000,37,183,"Wake County, NC",668956,648854,20102,3,2023,North Carolina,37183,2023,11,Wake County,North Carolina,37183,79674205,,3
39580,2024,47.18,47,112,18,366,Good,PM2.5,39580,37183,Wake County,North Carolina,CN3718300000000,37,183,"Wake County, NC",679550,658385,21165,3.1,2024,North Carolina,37183,2024,11,Wake County,North Carolina,37183,79674205,,3.1
41620,2021,67.96,59,177,27,365,Moderate,Ozone,41620,49035,Salt Lake County,Utah,CN4903500000000,49,35,"Salt Lake County, UT",645193,626701,18492,2.9,2021,Utah,49035,2021,20,Salt Lake County,Utah,49035,34033916,2.8,2.9
41620,2022,65.23,61,147,31,365,Moderate,Ozone,41620,49035,Salt Lake County,Utah,CN4903500000000,49,35,"Salt Lake County, UT",664322,648471,15851,2.4,2022,Utah,49035,2022,20,Salt Lake County,Utah,49035,34033916,,2.4
41620,2023,61.1,54,154,28,365,Moderate,Ozone,41620,49035,Salt Lake County,Utah,CN4903500000000,49,35,"Salt Lake County, UT",681550,663016,18534,2.7,2023,Utah,49035,2023,20,Salt Lake County,Utah,49035,34033916,,2.7
41620,2024,64.96,56,230,31,366,Moderate,Ozone,41620,49035,Salt Lake County,Utah,CN4903500000000,49,35,"Salt Lake County, UT",693444,671267,22177,3.2,2024,Utah,49035,2024,20,Salt Lake County,Utah,49035,34033916,,3.2
41700,2021,58.01,55,147,25,365,Moderate,PM2.5,41700,48029,Bexar County,Texas,CN4802900000000,48,29,"Bexar County, TX",958647,907781,50866,5.3,2021,Texas,48029,2021,5,Bexar County,Texas,48029,261650802,4.15,5.3
41700,2022,59,55,214,26,365,Moderate,PM2.5,41700,48029,Bexar County,Texas,CN4802900000000,48,29,"Bexar County, TX",983255,946503,36752,3.7,2022,Texas,48029,2022,5,Bexar County,Texas,48029,261650802,,3.7
41700,2023,56.55,53,309,24,365,Moderate,PM2.5,41700,48029,Bexar County,Texas,CN4802900000000,48,29,"Bexar County, TX",1010042,971849,38193,3.8,2023,Texas,48029,2023,5,Bexar County,Texas,48029,261650802,,3.8
41700,2024,57.71,53,199,23,366,Moderate,PM2.5,41700,48029,Bexar County,Texas,CN4802900000000,48,29,"Bexar County, TX",1038335,998663,39672,3.8,2024,Texas,48029,2024,5,Bexar County,Texas,48029,261650802,,3.8
42660,2021,51.41,48,177,24,365,Good,PM2.5,42660,53033,King County,Washington,CN5303300000000,53,33,"King County, WA",1278883,1219596,59287,4.6,2021,Washington,53033,2021,12,King County,Washington,53033,77142548,4.025,4.6
42660,2022,60.43,51,362,28,365,Good,PM2.5,42660,53033,King County,Washington,CN5303300000000,53,33,"King County, WA",1331094,1284731,46363,3.5,2022,Washington,53033,2022,12,King County,Washington,53033,77142548,,3.5
42660,2023,52.76,50,195,25,365,Good,PM2.5,42660,53033,King County,Washington,CN5303300000000,53,33,"King County, WA",1362264,1309308,52956,3.9,2023,Washington,53033,2023,12,King County,Washington,53033,77142548,,3.9
42660,2024,50.01,46.5,166,24,366,Good,PM2.5,42660,53033,King County,Washington,CN5303300000000,53,33,"King County, WA",1372055,1316450,55605,4.1,2024,Washington,53033,2024,12,King County,Washington,53033,77142548,,4.1
